Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom
    7.24744e+00    1.01109e+21    8.08875e+21    0.00000e+00    0.00000e+00    0.00000e+00    2.98550e+21    1.99033e+21    1.99033e+21    1.99033e+21    5.97100e+21    5.97100e+21    5.97100e+21    5.97100e+21    0.00000e+00    5.97100e+21
    8.07541e+00    5.96243e+20    4.76995e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.54583e+21    1.03055e+21    1.03055e+21    1.03055e+21    3.09166e+21    3.09166e+21    3.09166e+21    3.09166e+21    0.00000e+00    3.09166e+21
    8.99797e+00    2.82529e+20    2.26024e+21    0.00000e+00    0.00000e+00    0.00000e+00    7.94514e+20    5.29676e+20    5.29676e+20    5.29676e+20    1.58903e+21    1.58903e+21    1.58903e+21    1.58903e+21    0.00000e+00    1.58903e+21
    1.00259e+01    1.19819e+20    9.58550e+20    0.00000e+00    0.00000e+00    0.00000e+00    4.21503e+20    2.81002e+20    2.81002e+20    2.81002e+20    8.43006e+20    8.43006e+20    8.43006e+20    8.43006e+20    0.00000e+00    8.43006e+20
    1.11713e+01    5.02994e+19    4.02395e+20    0.00000e+00    0.00000e+00    0.00000e+00    1.91047e+20    1.27364e+20    1.27364e+20    1.27364e+20    3.82093e+20    3.82093e+20    3.82093e+20    3.82093e+20    0.00000e+00    3.82093e+20
    1.24476e+01    2.18962e+19    1.75170e+20    0.00000e+00    0.00000e+00    0.00000e+00    6.69050e+19    4.46033e+19    4.46033e+19    4.46033e+19    1.33810e+20    1.33810e+20    1.33810e+20    1.33810e+20    0.00000e+00    1.33810e+20
    1.38696e+01    7.32014e+18    5.85611e+19    0.00000e+00    0.00000e+00    0.00000e+00    2.00217e+19    1.33478e+19    1.33478e+19    1.33478e+19    4.00433e+19    4.00433e+19    4.00433e+19    4.00433e+19    0.00000e+00    4.00433e+19
    1.54541e+01    1.85497e+18    1.48398e+19    0.00000e+00    0.00000e+00    0.00000e+00    6.09947e+18    4.06631e+18    4.06631e+18    4.06631e+18    1.21989e+19    1.21989e+19    1.21989e+19    1.21989e+19    0.00000e+00    1.21989e+19
    1.72196e+01    4.51589e+17    3.61271e+18    0.00000e+00    0.00000e+00    0.00000e+00    1.45009e+18    9.66726e+17    9.66726e+17    9.66726e+17    2.90018e+18    2.90018e+18    2.90018e+18    2.90018e+18    0.00000e+00    2.90018e+18
    1.91868e+01    9.29124e+16    7.43299e+17    0.00000e+00    0.00000e+00    0.00000e+00    2.60197e+17    1.73465e+17    1.73465e+17    1.73465e+17    5.20395e+17    5.20395e+17    5.20395e+17    5.20395e+17    0.00000e+00    5.20395e+17
    2.13788e+01    1.36259e+16    1.09007e+17    0.00000e+00    0.00000e+00    0.00000e+00    4.48912e+16    2.99275e+16    2.99275e+16    2.99275e+16    8.97825e+16    8.97825e+16    8.97825e+16    8.97825e+16    0.00000e+00    8.97825e+16
    2.38212e+01    1.80475e+15    1.44380e+16    0.00000e+00    0.00000e+00    0.00000e+00    5.11133e+15    3.40755e+15    3.40755e+15    3.40755e+15    1.02227e+16    1.02227e+16    1.02227e+16    1.02227e+16    0.00000e+00    1.02227e+16
    2.65426e+01    1.66243e+14    1.32995e+15    0.00000e+00    0.00000e+00    0.00000e+00    5.33741e+14    3.55828e+14    3.55828e+14    3.55828e+14    1.06748e+15    1.06748e+15    1.06748e+15    1.06748e+15    0.00000e+00    1.06748e+15
    2.95749e+01    1.19253e+13    9.54024e+13    0.00000e+00    0.00000e+00    0.00000e+00    3.41344e+13    2.27563e+13    2.27563e+13    2.27563e+13    6.82689e+13    6.82689e+13    6.82689e+13    6.82689e+13    0.00000e+00    6.82689e+13
    3.29536e+01    6.36828e+11    5.09463e+12    0.00000e+00    0.00000e+00    0.00000e+00    1.96004e+12    1.30669e+12    1.30669e+12    1.30669e+12    3.92007e+12    3.92007e+12    3.92007e+12    3.92007e+12    0.00000e+00    3.92007e+12
    3.67183e+01    2.01100e+10    1.60880e+11    0.00000e+00    0.00000e+00    0.00000e+00    6.35685e+10    4.23790e+10    4.23790e+10    4.23790e+10    1.27137e+11    1.27137e+11    1.27137e+11    1.27137e+11    0.00000e+00    1.27137e+11
    4.09131e+01    5.63145e+08    4.50516e+09    0.00000e+00    0.00000e+00    0.00000e+00    1.67884e+09    1.11922e+09    1.11922e+09    1.11922e+09    3.35767e+09    3.35767e+09    3.35767e+09    3.35767e+09    0.00000e+00    3.35767e+09
    4.55871e+01    7.73254e+06    6.18603e+07    0.00000e+00    0.00000e+00    0.00000e+00    2.29132e+07    1.52755e+07    1.52755e+07    1.52755e+07    4.58265e+07    4.58265e+07    4.58265e+07    4.58265e+07    0.00000e+00    4.58265e+07
    5.07951e+01    8.12071e+04    6.49657e+05    0.00000e+00    0.00000e+00    0.00000e+00    2.38707e+05    1.59138e+05    1.59138e+05    1.59138e+05    4.77415e+05    4.77415e+05    4.77415e+05    4.77415e+05    0.00000e+00    4.77415e+05
    5.65981e+01    4.09397e+02    3.27517e+03    0.00000e+00    0.00000e+00    0.00000e+00    1.23097e+03    8.20647e+02    8.20647e+02    8.20647e+02    2.46194e+03    2.46194e+03    2.46194e+03    2.46194e+03    0.00000e+00    2.46194e+03
    6.30641e+01    1.18929e+00    9.51436e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.66343e+00    2.44229e+00    2.44229e+00    2.44229e+00    7.32686e+00    7.32686e+00    7.32686e+00    7.32686e+00    0.00000e+00    7.32686e+00
    7.02687e+01    2.01117e-03    1.60893e-02    0.00000e+00    0.00000e+00    0.00000e+00    5.97572e-03    3.98382e-03    3.98382e-03    3.98382e-03    1.19514e-02    1.19514e-02    1.19514e-02    1.19514e-02    0.00000e+00    1.19514e-02
